,title,link,view,upload_date
0,230812 Playing with Fire (in the rain!) Blackpink Born Pink Encore Metlife Stadium Day 2 Fancam,https://youtube.com/watch?v=l4SDonLSPAQ&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,10만회,1일 전
1,BLACKPINK - ‘Pretty Savage’ Live at Coachella 2023,https://youtube.com/watch?v=VLpUsmBafMQ&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2320만회,1개월 전
2,"[속보] 블랙핑크 미국 뉴저지 앙코르 콘서트 10만명 울부짖자 벌어진 3가지 사건, ""와 이젠 중년 남성들까지...""",https://youtube.com/watch?v=blKxIywBQNo&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.5만회,1일 전
3,"블랙핑크, 등장만으로 8만 프랑스 관객들을 격랑속으로 빠뜨려 버리는 클라스 [BLACKPINK PARIS ENCORE] Pink Venom",https://youtube.com/watch?v=Jkl8jQGCkq4&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,13만회,4주 전
4,❤️‍🔥인간관계에 위로가 될 노래 : 블랙핑크(blackpink) - STAY [가사해석/번역/자막],https://youtube.com/watch?v=S5hVVTG_DjY&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,20만회,2주 전
5,230812 Pink Venom Blackpink Born Pink Encore Metlife Stadium Day 2 Fancam Performance Live Concert,https://youtube.com/watch?v=pa8FQnZZODc&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.2만회,1일 전
6,"블랙핑크 '지수', 미소 천사 '인형 미모' (출국)✈️BLACKPINK 'JISOO' Airport Departure 23.8.10 #Newsen",https://youtube.com/watch?v=ZDDuyQ1ye7M&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.8만회,4일 전
7,"[속보] ""프랑스 파리 3번이나 뒤집어졌다"" 블랙핑크 파리 앙코르 실황",https://youtube.com/watch?v=aSKJpHUf3lg&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,26만회,4주 전
8,"블랙핑크 BST 무대가 난리난 이유 + 휴 그랜트가 놀란 이유, 사브리나 카펜터",https://youtube.com/watch?v=slU8mDJWknU&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,13만회,1개월 전
9,"블랙핑크, 폭우 속에서 열린 월드투어 메트라이프에서 K-POP 신기록 달성",https://youtube.com/watch?v=ioby7Dgi-zU&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4천회,1일 전
10,"블랙핑크 멤버 , 당신이 몰랐던 38가지 사실",https://youtube.com/watch?v=jSZps5SvVCE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,5.2천회,7일 전
11,"블랙핑크, 메트라이프 콘서트 미쳤다 5만 관중이 단체로 떼창하는 클라스!",https://youtube.com/watch?v=9t_invRV_mE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3천회,1일 전
12,BAKING ONE DAY CLASS,https://youtube.com/watch?v=ydEwD_K9OMM&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,133만회,2주 전
13,안보현과 열애중인 블랙핑크 지수 전남친들 모음,https://youtube.com/shorts/u5QLVOR3mNs,47만회,9일 전
14,휘트니 츄스턴을 본 블랙핑크 지수 반응,https://youtube.com/shorts/yHidQbH09BY,98만회,1개월 전
15,"""미국, 영국, 프랑스 역사를 바꿔놓았다"" 블랙핑크가 새로운 역사를 만든 현장",https://youtube.com/watch?v=GR_2fcL6iyE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,10만회,2주 전
16,7주년 맞는 '월드스타' 블랙핑크…YG 재계약은??재계약하면 멤버 당 받게 될 금액 #blackpink,https://youtube.com/watch?v=t56yvzoVZpY&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.9천회,8일 전
17,Blackpink in Hanoi vlog 블랙핑크 하노이공연 플래티늄좌석 브이로그/ 베트남 공연 풀영상 河内 越南 Worldtour Bonpink full-time,https://youtube.com/watch?v=EphKu7eozPA&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.2만회,2주 전
18,뉴진스 VS 블랙핑크 누가 더 대단할까? #하니 #제니,https://youtube.com/shorts/domtUwPQKMs,7.3만회,2주 전
19,"블랙핑크 제니, 두아 리파 팟캐스트 인터뷰, Blackpink Jennie(한영자막)",https://youtube.com/watch?v=HyAyaCGSyMI&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,20만회,4주 전
20,블랙핑크 로제랑 생로랑 가면 할인될까?😎,https://youtube.com/shorts/r3tFlO-QY1s,242만회,3주 전
21,"데뷔 7주년 블랙핑크…재계약 여부 ""여전히 논의 중"" / SBS / 굿모닝연예",https://youtube.com/watch?v=of-Kt894QgA&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.9천회,5일 전
22,"Blackpink in Your Area, HANOI 🖤🩷 | 블랙핑크 하노이",https://youtube.com/watch?v=fuqOb6bNX9c&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.1만회,2주 전
23,Coachella vlog,https://youtube.com/watch?v=VX6X3HdO__M&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,569만회,1개월 전
24,BTS 블랙핑크도 뛰어넘은 의외의 걸그룹? 미국까지 씹어먹는 한류열풍 근황!,https://youtube.com/watch?v=AWts6VQMfvE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,7.2만회,4주 전
25,"블랙핑크 베트남 공연 정상개최되자 베트남은 웃고 중국은 우는 현상황…""역시 블랙핑크의 위력은 대단하네요..!""",https://youtube.com/watch?v=DQnI5XnvdBg&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.7만회,2주 전
26,"블랙핑크(BLACKPINK), 여신들 입장하실게요~ 세계를 누비는 블핑이들(출국)✈️SGBAC Airport Departure 2023.7.28 #Newsen",https://youtube.com/watch?v=5aopyuVg1uA&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,8.8만회,2주 전
27,블랙핑크의 엄청난 팬인 프랑스 초등학생! 동네 옷 가게에서 블랙핑크 티셔츠도 사서 입고 다니네요.#국제가족#프랑스일상#블랙핑크해외팬,https://youtube.com/watch?v=tBzEtUk9WHw&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.1만회,1개월 전
28,블랙핑크 - 7주년,https://youtube.com/watch?v=9c87NbLjH0I&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,528만회,6일 전
29,[4K] 블랙핑크 지수가 요즘 가장 많이 듣는 말 : 너 T야...?💦 코첼라 후기부터 화보 비하인드까지🌹 #지수 의 이모지 인터뷰🐰 | ELLE KOREA,https://youtube.com/watch?v=1u8oeahwF0Y&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,64만회,3주 전
30,"[투머치토커] ""지수가 해냈다!""  🖤블랙핑크 최초, 공개열애🖤 '연인' 안보현도 떡상 중?  | EP.18-2",https://youtube.com/watch?v=Ayyus3mQPAg&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.7천회,10일 전
31,[ENG/THAI/JP] 리사의 보부상 백👜 안엔 어떤 아이템이? 더블유가 탈탈 털어봤습니다😎 by W Korea,https://youtube.com/watch?v=LddZ38_LMuM&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,88만회,2주 전
32,"리사(블랙핑크), ""아우라가 럭셔리 그 자체"" l LISA(BLACKPINK), ""The aura itself is luxurious"" [현장]",https://youtube.com/watch?v=VkVMkCkPwl4&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,19만회,1개월 전
33,블랙핑크 베트남 콘서트 진짜 미쳤다 4만명이 떼창하는 블랙핑크 클라스?!,https://youtube.com/watch?v=yOkroroceIE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1만회,2주 전
34,"현재 열애설 난 블랙핑크 지수, 안보현...결혼설 나오고있는 이유",https://youtube.com/watch?v=FNUjrBSLSYg&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.6만회,11일 전
35,[블랙핑크]BLACKPINK - 'Shutdown' Live at Kyocera Dome Osaka Japan Tour 2023,https://youtube.com/watch?v=vfu0x2WyRjE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,17만회,1개월 전
36,(ENG+)🦉: 블랙핑크 지수한테 두 번 고백 받고 사귄 썰 푼다 [시즌5 EP.13],https://youtube.com/watch?v=Ebr-LZ_OVbc&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,78만회,1개월 전
37,프랑스 시골 학교에 블랙 핑크 노래를 틀었을 때 폭발적인 반응! #shorts,https://youtube.com/watch?v=B083yevLWMc&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.2천회,4주 전
38,"블랙핑크 [BLACKPINK], 앞날이 더욱 기다려진다는 세계 최고의 걸그룹, 재계약 상황 정리(ENG, AR, CHN)",https://youtube.com/watch?v=kQ-Ug65tUhU&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.6만회,6일 전
39,논란 터진 블랙핑크 로제,https://youtube.com/shorts/7OgysArQI0E,2.5만회,2주 전
40,"[풀버전] 블랙핑크 제니·지수·로제, 오래오래 같이 가자 (출국)✈️BLACKPINK JENNIE·JISOO·ROSÉ Airport Departure 23.8.10 #Newsen",https://youtube.com/watch?v=AwOWqHUKFik&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4만회,4일 전
41,블랙핑크 앨범 스크랩 (쉬운 버전)🖤 BLACKPINK album scrap (easy ver.)🩷,https://youtube.com/shorts/bjQXVCT0tD0,1420만회,1개월 전
42,[블랙핑크] 블핑이 말아주는 띵띵땅땅 챌린지 ㅋㅋㅋ,https://youtube.com/shorts/n1-v5-AwHDI,9.3천회,2주 전
43,블랙핑크(BLACK PINK) ‘SHUT DOWN 셧다운’ | BORN PINK HANOI VIETNAM (Day 2) | 230730,https://youtube.com/watch?v=U9xdCPQ7A3Q&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,9천회,2주 전
44,"블랙핑크 '제니', 깜찍한 미소 짓는 '인간 샤넬'  (출국)✈️BLACKPINK 'JENNIE' Airport Departure 23.8.10 #Newsen",https://youtube.com/watch?v=t4wVP-qG9Xo&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.7만회,4일 전
45,1000억원 제시 받은 블랙핑크 리사 탈퇴 가능성,https://youtube.com/shorts/bzProaFDoqc,119만회,1개월 전
46,230812 Lovesick Girls (dancing in the rain!) Blackpink Born Pink Encore Metlife Stadium Day 2 Fancam,https://youtube.com/watch?v=KGPfXeTXP00&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,8만회,1일 전
47,블랙핑크 지수가 디올쇼에 나타나자 샤를리즈 테론과 세계 최고 부자가 충격 받은 이유?,https://youtube.com/watch?v=3lIZgjqGH_4&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.3천회,3주 전
48,블랙핑크의 베트남 공연 성공 일본 뉴스에서는 우려 표출?!,https://youtube.com/watch?v=UdAUUAYIr0g&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,6.1천회,12일 전
49,블랙핑크 공연도중 불청객(?)의 등장에 울상이 되어버린 이유!,https://youtube.com/shorts/EN2wjYAuOEw,95만회,12일 전
50,"베트남 하노이 인민위원회 위원장 ""블랙핑크 첫 베트남 공연 감사"" 하다며 감사장 보냈다 #blackpink",https://youtube.com/watch?v=8MT6q1nt1EQ&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3천회,12일 전
51,블랙핑크 베트남 공연에서 단체 띵띵땅땅,https://youtube.com/shorts/lXnaT7Ddxi8,2.9만회,2주 전
52,한류파워!! 하노이 블랙핑크 대란 (베트남 팬들이 왜케 이뻐!),https://youtube.com/watch?v=hIul1-wFt-s&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,7천회,2주 전
53,230701 BLACKPINK ROSÉ 블랙핑크 로제 출국 Departure 직캠 (Eng Sub),https://youtube.com/watch?v=qABZ9i2Tcrw&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,7.2만회,1개월 전
54,"'블랙핑크 텀블러' 3시간 만에 완판!! 블랙핑크 하노이콘서트, 6만7000여명 매진 #blackpink",https://youtube.com/watch?v=v_9Y2MCUYQM&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.9천회,2주 전
55,블랙핑크를 특집으로 다룬 일본방송 - 블랙핑크에 빠지게 되는 3가지 이유 - 블핑 이야기만 한다는 유명 일본 선수,https://youtube.com/watch?v=bBTsGd9Av6A&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,11만회,1개월 전
56,K팝 그룹 '최초' 이걸 누가 이겨…블랙핑크 '독보적 유튜브 퀸' #blackpink,https://youtube.com/watch?v=GqymIZyhvu4&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,966회,13일 전
57,블랙핑크 제니 사주만 드리고 어떤 사람인것 같은지 물었더니.. ''사주안에 도화살이 가득해'' / 김제니 사주 속 숨겨진 비밀 [신점],https://youtube.com/watch?v=S6dsVWexexI&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.5천회,2주 전
58,"베트남 팬들, 블랙핑크 찾아 하노이 공항 뛰어 다녀 #베트남현지언론번역 #shorts",https://youtube.com/shorts/BN_uaDOjSrc,953회,2주 전
59,"블랙핑크 리사 재계약, 할 수 없는 이유, 할 수 있는 조건",https://youtube.com/watch?v=CNcNejJ5oEY&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.4천회,2주 전
60,블랙핑크 BST Hyde Park 현장반응 | 예쁘고 잘하고 다하더라❤️,https://youtube.com/watch?v=XZpc0WQ282E&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.3만회,1개월 전
61,"블랙핑크 '로제', 천상계 '바비인형' (출국)✈️BLACKPINK 'ROSÉ' Airport Departure 23.8.10 #Newsen",https://youtube.com/watch?v=bmGfDKc1ufM&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.3만회,4일 전
62,[블랙핑크] BLACKPINK - 'STAY + ' ' Live at Kyocera Dome Osaka Japan Tour 2023,https://youtube.com/watch?v=LszFU-rw8I4&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,18만회,1개월 전
63,블랙핑크 로제 '7주년 벌칙은 내가!'  [STARPIC] / BLACKPINK Arrival - at  SGBAC 20230731,https://youtube.com/watch?v=MBlXmQRZJ_Q&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,6.9천회,2주 전
64,BLACKPINK - ‘B.P.M.’ Roll #29,https://youtube.com/watch?v=H7j9jY3WnrE&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,212만회,2주 전
65,"[풀버전] 블랙핑크 '지수·로제', 데뷔 7주년 축하해요 (출국)✈️BLACKPINK 'JISOO·ROSÉ' Airport Departure 23.8.10 #Newsen",https://youtube.com/watch?v=lKSGndxoXZs&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.3만회,4일 전
66,"""블랙핑크 빼면 YG엔 뭐가 남냐?"" 최근 해외팬들이 YG에 불만 폭발하는 이유",https://youtube.com/watch?v=oGE4GY8hcdM&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.8천회,2주 전
67,브레이크 댄스 추면 입국하는 '블랙핑크 로제' 7주년 벌칙 #입국 #BLACKPINK #ROSÉ #Newsen,https://youtube.com/watch?v=ZsqIS4EX9fI&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2만회,2주 전
68,"[문화연예 플러스] 블랙핑크 리사, 재계약 불확실? (2023.07.13/뉴스투데이/MBC)",https://youtube.com/watch?v=7R-o060NM0A&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,7.8만회,1개월 전
69,블랙핑크(BLACKPINK) 입국 (로제 벌칙 구경하는 제니 지수) | SGBAC Airport Arrival,https://youtube.com/watch?v=oigVMLpbgro&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.4만회,2주 전
70,블랙핑크 베트남 추가 공연 확정되자 미쳐버린 베트남 반응!!!,https://youtube.com/watch?v=IZky5LVb5DY&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.9만회,1개월 전
71,블랙핑크 베트남 콘서트 무대가 난리난 이유 + 리사가 화난 이유 + 카디비,https://youtube.com/watch?v=4GT4DYR6_ik&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.6만회,13일 전
72,230702 BLACKPINK JENNIE 제니 직캠 - You and ME + SOLO @BST Hyde Park,https://youtube.com/watch?v=Ec2TGDO13QY&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,35만회,1개월 전
73,230702 BLACKPINK JISOO 블랙핑크 지수 - 꽃 Flower @BST HydePark Festival fancam 직캠 4k,https://youtube.com/watch?v=slYniqW1z_g&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,68만회,1개월 전
74,"블랙핑크가 시드니 콘서트 끝나자마자 급하게 귀국한 이유...""K팝의 거물 블랙핑크가 귀를 찢는 쇼로 시드니를 강타했다""",https://youtube.com/watch?v=ZL_Vby_Gyis&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.3만회,1개월 전
75,"블랙핑크, 충격적인 월드투어 근황 공개 제일 적게 돌고 제일 높은 매출이라고?!",https://youtube.com/watch?v=gx6gY53s8X8&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,2.2천회,1개월 전
76,230702 BLACKPINK JENNIE 제니 직캠 - Pink Venom @BST Hyde Park,https://youtube.com/watch?v=qzR_IxMSxf8&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,10만회,1개월 전
77,워렌버핏 보다 돈 많은 회장님 아들이랑 연애중인 블랙핑크 리사ㄷㄷ,https://youtube.com/watch?v=Zu577CjEk8I&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,7만회,1개월 전
78,"블랙핑크, 하이드 파크 페스티벌...""블랙핑크가 영국 축제의 새 역사를 만들었다”",https://youtube.com/watch?v=-B4Hqoec130&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,20만회,1개월 전
79,[4K] 230702 블랙핑크 Tally 제니 직캠 BLACKPINK Tally Jennie fancam @BST Hyde Park,https://youtube.com/watch?v=_BSXMzairh0&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,67만회,1개월 전
80,[블랙핑크] 코첼라 공동 창립자가 직접 콘서트에 섭외한 퀸랙핑크,https://youtube.com/shorts/tdjkYcRON64,1.3만회,1개월 전
81,블랙핑크 지수❤안보현 사주의 궁합 / 궁합이 어떤지 물어봤더니.. 결혼까지 할수 있을까? / 지수 안보현 사주풀이 궁합 신점,https://youtube.com/watch?v=HI84c9JN5eY&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.8천회,10일 전
82,BLACKPINK (블랙핑크) 전세기 출국 Departure | SGBAC • 230728,https://youtube.com/watch?v=-wZqHlYfdLo&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,1.7만회,2주 전
83,블랙핑크 지수 한국인 최초 전세계 연예인 파워랭킹 1위 등극?! #한류 #kpop #블랙핑크 #블랙핑크지수 #blackpink #디올 #dior #댓글반응 #해외반응,https://youtube.com/watch?v=2GHAvdcAGa0&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,3.8천회,1개월 전
84,YG가 블랙핑크 지수의 열애설을 칼인정할수밖에 없었던 이유ㅋㅋㅋ,https://youtube.com/watch?v=wO5tBuQ2XX0&pp=ygUv67iU656Z7ZWR7YGsIGFmdGVyOjIwMjMtMDYtMTQgYmVmb3JlOjIwMjMtMDgtMTQ%3D,4.4만회,7일 전
